titulo,parrafo
Cefnllys Castle,"['\n\n', ' (', ': ', ', ', ') was a ', ' ', ' in ', ' (now part of ', '), ', '. Two successive masonry castles were built on a ridge above the ', ' known as ', ' (', ': ', ', ', ""'castle rock') in the thirteenth century, replacing a wooden "", ' constructed by the ', ' nearby. Controlling several communication routes into the highlands of ', ', the castles were strategically important within the ', ' during the ', '. As the seat of the fiercely contested ', ' and ']"
Buildings and architecture of Bristol,"['\n\n', ', the largest city in ', ', has an ', ' combination of ', ', ranging from the ', ' to 20th century ', ' and beyond. During the mid-19th century, ', ', an architectural style unique to the city, was developed, and several examples have survived.\n', 'Buildings from most of the ', ' of the United Kingdom can be seen throughout Bristol. Parts of the fortified city and castle date back to the ', ', as do some churches dating from the 12th century onwards. Outside the historical city centre there are several large ', ' mansions built for wealthy merchants. ', ' and ', ' of the same period survive, intermingled with areas of more recent development. Several ', '-era squares were laid out for the enjoyment of the middle class. As the city grew, it ', ' with its surrounding villages, each with its own character and centre, often clustered around a ']"
Bruce Castle,"['\n\n', ' (formerly the ', ') is a ', ' 16th-century', ' ', ' in ', ', ', ', London. It is named after the ', ' who formerly owned the land on which it is built. Believed to stand on the site of an earlier building, about which little is known, the current house is one of the oldest surviving English brick houses. It was remodelled in the 17th, 18th and 19th centuries.\n', 'The house has been home to ', ', the ', ' and ', ', among others. After serving as a school during the 19th century, when a large extension was built to the west, it was converted into a museum exploring the history of the areas now constituting ', ' and, on the strength of its connection with Sir Rowland Hill, the history of the ', "". The building also houses the archives of the London Borough of Haringey. Since 1892 the grounds have been a public park, Tottenham's oldest.\n"", 'The name ', ' is derived from the ', ', who had historically owned a third of the ', ' of Tottenham. However, there was no castle in the area, and it is unlikely that the family lived nearby.', ' Upon his accession to ', ' in 1306, ']"
Blakeney Chapel,"['\n', '\n\n', ' is a ruined building on the coast of ', ', ', '. Despite its name, it was probably not a ', ', nor is it in the adjoining village of ', ', but rather in the ', ' of ', '. The building stood on a raised mound or ""eye"" on the seaward end of the coastal marshes, less than 200\xa0m (220\xa0yd) from the sea and just to the north of the current channel of the ', ' where it turns to run parallel to the shoreline. It consisted of two rectangular rooms of unequal size, and appears to be intact in a 1586 map, but is shown as ruins in later charts. Only the foundations and part of a wall still remain. Three ', ' investigations between 1998 and 2005 provided more detail of the construction, and showed two distinct periods of active use. Although it is described as a chapel on several maps, there is no documentary or archaeological evidence to suggest that it had any religious function. A small ', ', probably used for ', ' iron, is the only evidence of a specific activity on the site.\n', 'Much of the structural material was long ago carried off for reuse in buildings in Cley and Blakeney. The surviving ruins are protected as a ', ' and ', "" because of their historical importance, but there is no active management. The ever-present threat from the encroaching sea is likely to increase following a realignment of the Glaven's course through the marshes, and lead to the loss of the ruins.\n"", 'The Blakeney Chapel ruins consist of an east–west rectangular structure (S1) 18\xa0m ×\xa07\xa0m (59\xa0ft ×\xa023\xa0ft) in size with a smaller rectangular building (S2), 13\xa0m ×\xa05\xa0m (43\xa0ft ×\xa016\xa0ft) built onto the southern side of the main room. Most of the structure is buried; only a 6\xa0m (20\xa0ft) length of a ', ' and mortar wall was exposed to a height of 0.3\xa0m (1\xa0ft) prior to the excavation of 2004–05. The ruins stand on the highest point of Blakeney Eye at about 2\xa0m (7\xa0ft) above sea level.', ' The Eye is a sandy mound in the ', ' that is located inside the sea wall at the point where the ', ' turns westward towards the sheltered inlet of ']"
Bramall Hall,"['\n', ' is a largely ', ' ', ' in ', ', within the ', ', Greater Manchester, England. It is a ', ' building; the oldest parts of which date from the 14th century, with later additions from the 16th and 19th centuries.  The house, which functions as a museum, and its 70 acres (28\xa0ha) of landscaped parkland with lakes, woodland and gardens (', ') are open to the public.\n', 'Dating back to ', ', the manor of Bramall was first described in the ', "" in 1086, when it was held by the Masseys. From the late 14th century, it was owned by the Davenports who built the present house; they remained lords of the manor for about 500\xa0years. In 1877, they sold the estate of nearly 2,000 acres to the Manchester Freeholders' Company, a property company formed expressly for the purpose of exploiting the estate's potential for residential building development. The Hall and a residual park of over 50 acres was sold on by the Freeholders (though not the lordship of the manor) to the Nevill family of successful industrialists. In 1925, it was purchased by "", ' and then, in 1935, acquired by the local government authority for the area, Hazel Grove and Bramhall Urban District Council. Following a local government reorganisation in 1974, Bramall Hall is now owned by ', ' (SMBC), which describes it as ""the most prestigious and historically significant building in the Conservation Area"".', '\n', 'The name ""Bramall"" means ""nook of land where broom grows"" and is derived from the ', ' noun ', ' meaning ', ', a type of shrub common in the area, and the Old English noun ', ', which has several meanings—including nook, secret place and valley—that could refer to Bramall.', ' The manor of Bramall dates from the ', ', when it was held as two separate estates owned by the ']"
Brougham Castle,"['\n\n', ' (pronounced ', ') is a ', ' about 2 miles (3.2\xa0km) south-east of ', ', England. The ', ' was founded by ', ' in the early 13th century. The site, near the confluence of the rivers, ', ' and ', ', had been chosen by the ', ' for a ', ' called ', '. The castle, along with the fort, is a ', ': ""Brougham Roman fort and Brougham Castle"".', '\n', 'In its earliest form, the castle consisted of a stone ', ', with an ', ' and a wooden ', '. When the castle was built, Robert de Vieuxpont was one of the only ', ' in the region who were loyal to ', '. The Vieuxponts were a powerful land-owning family in ', ', who also owned the castles of ']"
Bramshill House,"['\n\n', ', in ', ', northeast Hampshire, England, is one of the largest and most important ', ' ', ' mansions in England. It was built in the early 17th century by the ', ' of ', ' but was partly destroyed by fire a few years later. The design shows the influence of the ', ', which became popular in England during the late 16th century. The house was designated a Grade I ', ' in 1952.\n', ""The mansion's southern façade is notable for its decorative architecture, which includes at its centre a large "", ' above the principal entrance. Interior features include a great hall displaying 92 coats of arms on a Jacobean screen, an ornate drawing room, and a 126.5-foot-long (38.6\xa0m) gallery. Numerous columns and ', ' are found throughout the mansion, while several rooms have large ', ' depicting historical figures and events on their panelled walls. The house is set in 262 acres (106\xa0ha) of grounds containing an 18-acre (7.3\xa0ha) lake. The grounds, which received a Grade\xa0II* listing in 1984, are part of a ', ' that includes about 25 acres (10\xa0ha) of early 17th-century formal gardens near the house. The wider medieval park was landscaped from the 17th to the 20th century and contains woodland.\n', 'Bramshill appears to have been a local sporting and social venue since the 16th century. The ', ' ground at the house played host to a ', ' match in 1823 when an early ', ' team played an ', ', and it hosted three other matches in 1825–26. During the Second World War, the mansion was used as a Red Cross ', ', before becoming the residence of the exiled King ', ' and ']"
Bodiam Castle,"['\n\n', ' (', ') is a 14th-century ', ' ', ' near ', ' in East Sussex, England. It was built in 1385 by Sir ', ', a former knight of ', ', with the permission of ', ', ostensibly to defend the area against French invasion during the ', '. Of ', ', Bodiam Castle has no ', ', having its various chambers built around the outer defensive walls and inner courts. Its corners and entrance are marked by towers, and topped by ', "". Its structure, details and situation in an artificial watery landscape indicate that display was an important aspect of the castle's design as well as defence. It was the home of the "", ' family and the centre of the ', ' of ']"
Buckingham Palace,"['\n\n\n', '\n', ' (', ')', ' is a ', ' royal ', ' and the administrative headquarters of the ', '.', ' Located in the ', ', the palace is often at the centre of state occasions and royal hospitality. It has been a focal point for the ', ' at times of national rejoicing and mourning.\n', 'Originally known as ', "", the building at the core of today's palace was a large "", ' built for the ', ' in 1703 on a site that had been in private ownership for at least 150 years. It was acquired by ', ' in 1761 as a private residence for ', "" and became known as The Queen's House. During the 19th century it was enlarged, principally by architects "", ' and ', ', who constructed three wings around a central courtyard. Buckingham Palace became the London residence of the British monarch on the accession of ', ' in 1837.\n', 'The last major structural additions were made in the late 19th and early 20th centuries, including the East Front, which contains the well-known balcony on which the ']"
Benty Grange helmet,"['\n\n\n', 'The ', ' is an ', ' ', ' from the 7th century AD. It was excavated by ', ' in 1848 from a ', ' at the ', ' farm in ', ' in western ', "". The grave had probably been looted by the time of Bateman's excavation, but still contained other high-status objects suggestive of a richly furnished burial, such as the "", '. The helmet is displayed at ', ""'s "", "", which purchased it from Bateman's estate in 1893.\n"", 'The helmet was constructed by covering the outside of an iron framework with plates of horn and the inside with cloth or leather; the organic material has since decayed. It would have provided some protection against weapons, but was also ornate and may have been intended for ceremonial use. It was the first Anglo-Saxon helmet to be discovered, with five others found since: ', ', ', ', ', ', ', ' and ', '. The helmet features a unique combination of structural and technical attributes, but contemporaneous parallels exist for its individual characteristics. It is classified as one of the ""crested helmets"" used in Northern Europe from the 6th to 11th centuries AD.\n', 'The most striking feature of the helmet is the boar at its apex; this pagan symbol faces towards a ', ' on the ']"
Borobudur,"['\n', ', also transcribed ', ' (', ': ', ', ', ': ', ', ', ') is a 9th-century ', ' ', ' in ', ', not far from the town of ', ', in ', ', ', "". It is the world's largest "", '.', ' The temple consists of nine stacked platforms, six square and three circular, topped by a central dome. It is decorated with 2,672 ', ' panels and originally 504 ', '. The central dome is surrounded by 72 Buddha statues, each seated inside a perforated ', '.', '\n', 'Built in the 9th century during the reign of the ']"
Belton House,"['\n', ' is a ', ' listed ', ' in the parish of ', ' near ', ' in ', ', ', ', built between 1685 and 1688 by ', '. It is surrounded by formal gardens and a series of avenues leading to ', ' within a larger wooded ', '. Belton has been described as a compilation of all that is finest of ', ' architecture, the only truly ', ' style of architecture that England had produced since the ', '.', ' It is considered to be a complete example of a typical English country house.', '\n', 'For about three centuries until 1984, Belton House was the seat successively of the ', ', which had first acquired land in the area in the late 16th century, and of its heirs the ', ' (in 1815 created ', '). Despite his great wealth Sir John Brownlow, 3rd Baronet, chose to build a comparatively modest house rather than one of the grand ', ' palaces being built by others at the time. The contemporary, if provincial, Carolean style was the selected choice of design. The new house was fitted with the latest ']"
Acra (fortress),"['The ', ' (also spelled ', ', from ', ': ', ', ', ': ', ' ', '), with the meaning of ""stronghold"" (see under ', '), was a place in ', ' thought to have had a fortified ', ' built by ', ', ruler of the ', ', following his sack of the city in 168\xa0', '. The name Acra was also used at a later time for a city quarter probably associated with the by-then destroyed fortress, known in his time to ', ' (1st century CE) as both Acra and ""the lower city"". The fortress played a significant role in the events surrounding the ', ', which resulted in the formation of the ', '. The ""upper city"" was captured by ', ', with the Seleucid garrison taking refuge in the ""Acra"" below,', ' and the task of destroying this last enemy stronghold inside Jerusalem fell to ', ' surnamed Thassi.', ' Our knowledge about the Acra is based almost exclusively on the writings of Josephus, which are of a later date, and on the ']"
Angkor Wat,"['\n', '\n', ' (', ': ', ', ', ' ', '; meaning ""Temple City"") is a temple complex in ', ' and is the largest religious monument in the world,', ' on a site measuring 162.6 hectares (1,626,000\xa0m', '; 402 acres).', ' Breaking from Shaiva tradition of previous kings, Angkor Wat was dedicated to Vishnu for the ']"
Biblioteca Marciana,"['\n', 'The ', ' or  ', ' (', ': ', ', but in historical documents commonly referred to as ', ') is a ', ' in ', ', Italy. It is one of the earliest surviving public libraries and repositories for ', "" in Italy and holds one of the world's most significant collections of "", '. It is named after ', ', the ', ' of the city.\n', 'The library was founded in 1468 when the ', ' Cardinal ', ', ', ' and titular ', ', donated his collection of Greek and Latin manuscripts to the ', "", with the stipulation that a library of public utility be established. The collection was the result of Bessarion's persistent efforts to locate rare manuscripts throughout Greece and Italy and then acquire or copy them as a means of preserving the "", ' and the ', ' after the ']"
